loc	GRCh38.p13-Dombi-23_ATAC_2.samtools-coordinate	GRCh38.p13-Dombi-23_ATAC_1.samtools-coordinate	GRCh38.p13-PKC19_ATAC_4.samtools-coordinate	GRCh38.p13-PKC19_ATAC_1.samtools-coordinate	GRCh38.p13-PKC19_ATAC_2.samtools-coordinate	GRCh38.p13-PKC19_ATAC_3.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_4.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_1.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_2.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_3.samtools-coordinate	GRCh38.p13-GSM4728093.samtools-coordinate	GRCh38.p13-GSM4728094.samtools-coordinate
1:1337832-1338032	4.0	4.0	14.0	20.0	11.0	29.0	16.0	6.0	17.0	60.0	10.0	85.0
1:1344868-1345068	7.0	29.0	31.0	41.0	52.0	57.0	47.0	20.0	32.0	136.0	36.0	298.0
1:1344921-1345121	7.0	32.0	28.0	39.0	45.0	49.0	49.0	17.0	30.0	130.0	47.0	291.0
1:1345090-1345290	2.0	17.0	9.0	24.0	20.0	12.0	23.0	16.0	12.0	60.0	34.0	210.0
1:1345548-1345748	2.0	8.0	14.0	14.0	12.0	10.0	21.0	12.0	13.0	48.0	21.0	137.0
1:1349401-1349601	0.0	7.0	12.0	19.0	4.0	18.0	3.0	15.0	12.0	22.0	24.0	159.0
1:1349585-1349785	0.0	6.0	18.0	33.0	10.0	24.0	9.0	7.0	8.0	21.0	15.0	166.0
1:1355454-1355654	0.0	5.0	10.0	22.0	9.0	11.0	11.0	4.0	6.0	16.0	9.0	84.0
1:1358581-1358781	0.0	1.0	15.0	9.0	6.0	1.0	3.0	2.0	5.0	17.0	0.0	60.0
1:1360644-1360844	6.0	14.0	14.0	44.0	41.0	15.0	24.0	12.0	22.0	81.0	11.0	154.0
1:1360673-1360873	7.0	15.0	15.0	41.0	45.0	15.0	25.0	10.0	22.0	83.0	11.0	152.0
1:1364334-1364534	3.0	7.0	8.0	35.0	17.0	16.0	16.0	0.0	14.0	43.0	18.0	100.0
1:1364352-1364552	3.0	6.0	7.0	36.0	16.0	16.0	16.0	0.0	14.0	44.0	18.0	101.0
1:1372147-1372347	0.0	10.0	17.0	23.0	20.0	21.0	15.0	6.0	20.0	51.0	8.0	85.0
1:1375249-1375449	14.0	37.0	71.0	81.0	57.0	70.0	42.0	30.0	52.0	153.0	46.0	291.0
1:1375340-1375540	15.0	39.0	59.0	79.0	62.0	61.0	44.0	23.0	46.0	173.0	58.0	324.0
1:1399335-1399535	6.0	21.0	61.0	67.0	53.0	87.0	45.0	28.0	38.0	163.0	38.0	271.0
1:1399402-1399602	5.0	23.0	64.0	70.0	64.0	77.0	49.0	26.0	39.0	163.0	40.0	294.0
1:1402129-1402329	6.0	9.0	15.0	39.0	35.0	41.0	35.0	7.0	19.0	93.0	12.0	119.0
1:1402185-1402385	5.0	9.0	19.0	46.0	36.0	44.0	25.0	6.0	17.0	96.0	7.0	115.0
1:1407208-1407408	5.0	34.0	31.0	46.0	35.0	43.0	27.0	17.0	41.0	125.0	16.0	191.0
1:1407223-1407423	5.0	34.0	32.0	48.0	36.0	44.0	29.0	18.0	43.0	128.0	17.0	191.0
1:1407573-1407773	3.0	0.0	6.0	16.0	3.0	13.0	1.0	9.0	11.0	9.0	10.0	49.0
1:1407806-1408006	0.0	2.0	8.0	18.0	13.0	21.0	6.0	10.0	14.0	38.0	4.0	40.0
1:1407814-1408014	0.0	2.0	8.0	17.0	13.0	22.0	6.0	8.0	14.0	38.0	4.0	39.0
1:1420062-1420262	0.0	1.0	19.0	13.0	15.0	21.0	16.0	2.0	17.0	21.0	8.0	57.0
1:1420105-1420305	0.0	1.0	19.0	17.0	16.0	19.0	15.0	2.0	20.0	25.0	8.0	59.0
1:1421383-1421583	2.0	13.0	5.0	23.0	13.0	12.0	28.0	10.0	12.0	67.0	9.0	92.0
1:1422788-1422988	0.0	2.0	1.0	14.0	10.0	2.0	15.0	4.0	4.0	47.0	12.0	77.0
1:1433298-1433498	3.0	9.0	24.0	48.0	41.0	34.0	29.0	13.0	36.0	76.0	27.0	176.0
1:1433306-1433506	2.0	9.0	24.0	49.0	41.0	34.0	29.0	13.0	36.0	76.0	28.0	180.0
1:1435568-1435768	1.0	6.0	23.0	39.0	28.0	51.0	21.0	6.0	23.0	68.0	9.0	133.0
1:1435575-1435775	2.0	8.0	21.0	38.0	27.0	51.0	23.0	7.0	24.0	69.0	9.0	134.0
1:1440938-1441138	0.0	3.0	19.0	27.0	29.0	24.0	16.0	8.0	13.0	57.0	8.0	80.0
1:1440965-1441165	0.0	4.0	19.0	27.0	28.0	24.0	16.0	8.0	13.0	57.0	8.0	83.0
1:1441075-1441275	0.0	7.0	10.0	25.0	19.0	20.0	13.0	6.0	10.0	31.0	4.0	65.0
1:1461830-1462030	0.0	0.0	1.0	12.0	4.0	5.0	6.0	1.0	1.0	19.0	4.0	37.0
